Feature,Importance
Financial_Independence_Score,120.96207427978516
Wealth_to_Income_log,109.48184967041016
Financial_Independence_Score_log,95.37757110595703
Wealth_Sqrt,32.843467712402344
Wealth_log,31.22989845275879
Wealth,21.163122177124023
Risk_Capacity,9.011879920959473
Age,8.791747093200684
Risk_Capacity_log,8.355316162109375
Age_Squared,8.315217018127441
Education_Risk_Profile,6.438147068023682
Wealth_Per_Family_Size_log,5.149885654449463
risk_tolerance_log,4.289376258850098
Financial_Sophistication_Ratio,3.8592190742492676
FinancialEducation_Squared,3.210944414138794
Life_Stage_Adjusted_Income_log,2.494917631149292
Age_Risk_Interaction,2.465095281600952
Retirement_Readiness_log,2.453822374343872
Investment_Capacity_log,2.4107015132904053
Wealth_Per_Family_Size,2.28886342048645
Wealth_Concentration_log,1.9170763492584229
Retirement_Readiness,0.6374979019165039
