,0
training_size,5000
positive_rate,0.513
accuracy,0.813
precision,0.8721461187214612
recall,0.7446393762183235
f1,0.8033648790746581
auc,0.8716672470590119
threshold,0.5
test_size,1000
base_models,"{'Model 1': {'accuracy': 0.803, 'precision': 0.9463276836158192, 'recall': 0.6530214424951267, 'f1': 0.7727797001153404, 'auc': 0.8556344088603897}, 'Model 2': {'accuracy': 0.786, 'precision': 0.9029649595687331, 'recall': 0.6530214424951267, 'f1': 0.7579185520361992, 'auc': 0.86329358646445}, 'Model 3': {'accuracy': 0.788, 'precision': 0.903485254691689, 'recall': 0.6569200779727096, 'f1': 0.760722347629797, 'auc': 0.8374961473956393}, 'Model 4': {'accuracy': 0.532, 'precision': 0.5737704918032787, 'recall': 0.341130604288499, 'f1': 0.42787286063569685, 'auc': 0.5488950530558657}}"
